LodgingRevenue,OtherRevenue,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,req_room
925.5,186.0,1,8,4,1095,0
412.58,141.0,1,15,5,1096,0
159.0,156.5,1,6,3,1094,0
159.0,150.0,1,6,3,1094,0
162.0,75.0,1,3,3,1094,0
162.0,75.0,1,3,3,1094,0
162.0,77.5,1,3,3,1094,0
159.0,150.0,1,6,3,1094,1
159.0,150.0,1,6,3,1094,0
159.0,150.0,1,6,3,1094,1
162.0,75.0,1,3,3,1094,0
159.0,150.0,1,6,3,1094,0
159.0,162.0,1,6,3,1094,0
159.0,150.0,1,6,3,1094,1
159.0,160.0,1,6,3,1094,0
277.17,114.83,1,6,3,1094,0
159.0,150.0,1,6,3,1094,0
381.6,73.4,1,3,3,1094,0
250.6,140.4,1,6,3,1094,0
300.24,256.36,1,12,6,1097,0
182.4,111.6,1,6,3,1094,0
182.4,111.6,1,6,3,1094,1
138.0,69.0,1,6,3,1094,0
182.4,114.1,1,6,3,1094,0
182.4,111.6,1,6,3,1094,0
182.4,111.6,1,6,3,1094,1
555.0,154.5,1,14,7,1098,0
555.0,98.0,1,14,7,1098,0
182.4,111.6,1,6,3,1094,0
166.2,55.8,1,3,3,1094,0
182.4,111.6,1,6,3,1094,0
983.46,296.1,1,30,10,1101,0
627.3,8.0,1,12,4,1095,1
204.0,42.0,1,6,3,1094,0
159.0,272.0,1,6,3,1094,0
138.0,42.0,1,6,3,1094,0
59.0,6.0,1,1,1,1092,0
68.0,14.0,1,2,1,1092,0
162.0,103.5,1,3,3,1094,0
1086.0,162.0,11,22,18,189,1
64.8,3.0,1,1,1,1091,0
116.0,73.0,1,6,3,1093,0
140.0,286.5,1,6,3,1093,1
44.0,14.0,1,2,1,1091,0
173.52,42.0,1,6,3,1093,0
230.0,118.0,1,10,5,1095,0
294.87,70.0,1,10,5,1095,0
523.8,82.0,1,12,6,1096,1
240.0,269.5,1,10,5,1095,0
140.0,57.0,1,6,3,1093,1
210.0,114.0,1,6,3,1093,0
73.0,14.0,1,2,1,1091,0
73.0,23.0,1,2,1,1091,0
315.0,80.5,1,10,5,1094,0
219.0,52.5,1,3,3,1092,0
332.0,188.5,1,8,4,1093,0
219.0,33.0,1,3,3,1092,0
211.0,26.0,1,2,1,1090,0
55.49,14.0,1,2,1,1090,0
73.0,51.1,1,2,1,1090,0
290.0,102.0,1,14,7,1095,0
168.0,17.0,1,2,2,1090,0
386.0,30.5,2,4,4,587,0
124.0,46.0,1,8,4,1092,0
224.0,56.0,1,8,4,1092,0
75.0,2.0,1,2,1,1089,1
138.0,75.0,1,6,3,1091,0
64.32,79.0,1,2,1,1089,0
78.0,14.0,1,2,2,1090,0
39.0,7.0,1,1,1,1089,0
75.0,12.5,1,2,1,1089,0
116.0,32.5,1,4,2,1087,0
192.0,396.5,1,8,4,1091,0
445.5,72.0,1,2,1,1088,0
240.0,101.0,1,10,5,1091,0
290.0,72.0,1,12,6,1092,0
124.5,346.5,1,4,2,1088,0
130.5,36.0,1,6,2,1088,0
123.6,74.4,1,4,2,1088,0
123.6,74.4,1,4,2,1088,0
123.6,74.4,1,4,2,1088,0
328.8,328.7,1,12,6,1092,0
75.0,26.0,1,2,1,1087,0
220.0,104.0,1,10,5,1091,0
52.02,4.5,1,2,1,1086,0
59.0,7.0,1,1,1,1086,0
59.0,18.0,1,2,1,1086,0
138.0,42.0,1,6,3,1088,0
174.0,42.0,1,6,3,1088,0
230.0,176.5,1,10,5,1090,0
345.0,142.2,1,5,5,1089,0
232.8,164.6,1,6,3,1087,0
184.0,62.5,1,8,4,1088,0
165.0,55.8,1,3,3,1087,0
