LodgingRevenue,OtherRevenue,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,req_room,Cluster
358.0,62.0,1,8,2,1096,1,Group Travelers
243.35,65.0,1,6,3,1097,0,Budget Guests
249.1,173.5,1,4,2,1096,0,Budget Guests
207.59,52.0,1,6,3,1097,1,Group Travelers
192.0,50.0,1,8,4,1098,0,Budget Guests
659.34,491.0,1,18,6,1100,1,Group Travelers
466.91,118.3,1,15,5,1098,0,Budget Guests
192.0,104.0,1,8,4,1097,0,Budget Guests
464.0,290.0,1,22,11,1104,0,Budget Guests
410.0,86.0,1,8,4,1097,1,Group Travelers
276.0,64.0,1,12,4,1097,0,Budget Guests
232.0,234.5,1,8,4,1097,0,Budget Guests
232.0,53.5,1,8,4,1097,0,Budget Guests
391.2,58.5,1,8,4,1097,1,Group Travelers
232.0,59.5,1,8,4,1097,0,Budget Guests
232.0,57.0,1,8,4,1097,0,Budget Guests
114.0,28.0,1,4,2,1095,0,Budget Guests
391.2,52.0,1,8,4,1097,1,Group Travelers
391.2,56.5,1,8,4,1097,1,Group Travelers
192.0,52.0,1,8,4,1097,0,Budget Guests
232.0,95.5,1,8,4,1097,0,Budget Guests
232.0,57.0,1,8,4,1097,0,Budget Guests
174.0,242.0,1,6,3,1096,0,Budget Guests
168.0,67.0,1,3,3,1096,0,Budget Guests
151.2,29.0,1,4,1,1094,0,Budget Guests
168.0,20.0,1,3,3,1096,0,Budget Guests
232.0,52.0,1,8,4,1097,0,Budget Guests
240.0,62.5,1,9,3,1096,0,Budget Guests
177.0,20.0,1,3,3,1096,0,Budget Guests
232.0,52.0,1,8,4,1097,0,Budget Guests
427.05,64.0,1,10,5,1098,0,Budget Guests
192.0,55.0,1,8,4,1097,0,Budget Guests
308.4,37.5,1,6,2,1095,1,Group Travelers
95.0,2.0,1,2,1,1094,0,Budget Guests
687.65,196.5,1,21,7,1100,0,Budget Guests
232.0,54.5,1,8,4,1097,0,Budget Guests
174.0,43.0,1,6,3,1096,0,Budget Guests
138.0,211.0,1,6,3,1096,0,Budget Guests
289.8,40.0,1,6,3,1096,1,Group Travelers
58.0,14.0,1,2,1,1094,0,Budget Guests
174.0,40.0,1,6,3,1096,0,Budget Guests
93.0,50.0,1,2,1,1094,0,Budget Guests
174.0,251.0,1,6,3,1096,0,Budget Guests
174.0,188.5,1,6,3,1096,0,Budget Guests
174.0,42.5,1,6,3,1096,0,Budget Guests
232.0,187.0,1,8,4,1097,0,Budget Guests
174.0,180.0,1,6,3,1096,0,Budget Guests
174.0,243.5,1,6,3,1096,0,Budget Guests
174.0,277.0,1,6,3,1096,0,Budget Guests
174.0,40.0,1,6,3,1096,0,Budget Guests
174.0,183.0,1,6,3,1096,0,Budget Guests
40.0,12.0,1,2,1,1094,0,Budget Guests
174.0,180.0,1,6,3,1096,0,Budget Guests
464.0,724.8,1,22,11,1104,0,Budget Guests
174.0,187.0,1,6,3,1096,0,Budget Guests
174.0,180.0,1,6,3,1096,0,Budget Guests
174.0,247.0,1,6,3,1096,0,Budget Guests
509.62,440.5,1,16,8,1101,0,Budget Guests
464.0,648.0,1,22,11,1104,0,Budget Guests
88.0,37.0,1,4,2,1095,1,Group Travelers
174.0,63.5,1,6,3,1096,0,Budget Guests
174.0,328.0,1,6,3,1096,0,Budget Guests
238.0,67.0,1,8,4,1097,0,Budget Guests
138.0,453.2,1,6,3,1096,0,Budget Guests
324.0,298.0,1,8,4,1096,0,Budget Guests
219.0,48.0,1,3,3,1095,0,Budget Guests
138.0,71.98,1,6,3,1095,0,Budget Guests
192.0,54.0,1,8,4,1096,0,Budget Guests
73.0,23.5,1,2,1,1093,0,Budget Guests
613.7,25.0,1,12,6,1098,0,Budget Guests
522.75,76.0,1,10,5,1097,1,Group Travelers
291.5,104.5,1,10,5,1097,0,Budget Guests
522.75,46.0,1,10,5,1097,1,Group Travelers
182.4,111.6,1,6,3,1094,0,Budget Guests
182.4,115.1,1,6,3,1094,0,Budget Guests
138.0,42.0,1,6,3,1094,0,Budget Guests
182.4,116.6,1,6,3,1094,0,Budget Guests
182.4,111.6,1,6,3,1094,0,Budget Guests
182.4,111.6,1,6,3,1094,0,Budget Guests
182.4,111.6,1,6,3,1094,1,Group Travelers
182.4,111.6,1,6,3,1094,0,Budget Guests
182.4,111.6,1,6,3,1094,0,Budget Guests
182.4,111.6,1,6,3,1094,0,Budget Guests
182.4,111.6,1,6,3,1094,0,Budget Guests
308.5,56.0,1,8,4,1095,0,Budget Guests
925.5,186.0,1,8,4,1095,0,Budget Guests
412.58,141.0,1,15,5,1096,0,Budget Guests
159.0,156.5,1,6,3,1094,0,Budget Guests
159.0,150.0,1,6,3,1094,0,Budget Guests
162.0,75.0,1,3,3,1094,0,Budget Guests
162.0,75.0,1,3,3,1094,0,Budget Guests
162.0,77.5,1,3,3,1094,0,Budget Guests
159.0,150.0,1,6,3,1094,1,Group Travelers
159.0,150.0,1,6,3,1094,0,Budget Guests
159.0,150.0,1,6,3,1094,1,Group Travelers
162.0,75.0,1,3,3,1094,0,Budget Guests
159.0,150.0,1,6,3,1094,0,Budget Guests
159.0,162.0,1,6,3,1094,0,Budget Guests
159.0,150.0,1,6,3,1094,1,Group Travelers
159.0,160.0,1,6,3,1094,0,Budget Guests
277.17,114.83,1,6,3,1094,0,Budget Guests
159.0,150.0,1,6,3,1094,0,Budget Guests
381.6,73.4,1,3,3,1094,0,Budget Guests
250.6,140.4,1,6,3,1094,0,Budget Guests
